route_id,route_short_name,route_long_name,route_type,agency_id
842,,ICE 1273,2,SBB
843,,ICE 1295,2,SBB
845,,ICE 13,2,DB
846,,ICE 15,2,DB
847,,ICE 211,2,DB
848,,ICE 210,2,DB
849,,ICE 14,2,DB
850,,ICE 215,2,DB
851,,ICE 19,2,DB
852,,ICE 10,2,DB
854,,ICE 11,2,DB
855,,ICE 18,2,DB
856,,ICE 1119,2,DB
857,,ICE 1224,2,DB
864,,ICE 520,2,DB
865,,ICE 722,2,DB
866,,ICE 632,2,DB
867,,ICE 932,2,DB
868,,ICE 616,2,DB
869,,ICE 614,2,DB
870,,ICE 612,2,DB
871,,ICE 1580,2,DB
872,,ICE 1680,2,DB
873,,ICE 511,2,DB
874,,ICE 610,2,DB
876,,ICE 513,2,DB
877,,ICE 518,2,DB
880,,ICE 516,2,DB
881,,ICE 786,2,DB
884,,ICE 517,2,DB
885,,ICE 1502,2,DB
886,,ICE 537,2,DB
887,,ICE 587,2,DB
890,,ICE 519,2,DB
891,,ICE 512,2,DB
892,,ICE 590,2,DB
894,,ICE 580,2,DB
895,,ICE 611,2,DB
896,,ICE 510,2,DB
900,,ICE 613,2,DB
901,,ICE 615,2,DB
902,,ICE 985,2,DB
904,,ICE 981,2,DB
906,,ICE 893,2,DB
908,,ICE 989,2,DB
910,,ICE 895,2,DB
913,,ICE 591,2,DB
915,,ICE 991,2,DB
916,,ICE 680,2,DB
919,,ICE 277,2,DB
920,,ICE 279,2,DB
923,,ICE 1040,2,DB
925,,ICE 375,2,DB
927,,ICE 1699,2,DB
929,,ICE 377,2,DB
931,,ICE 1591,2,DB
932,,ICE 877,2,DB
937,,ICE 1878,2,DB
939,,ICE 1052,2,DB
940,,ICE 942,2,DB
942,,ICE 995,2,DB
945,,ICE 1285,2,DB
946,,ICE 674,2,DB
947,,ICE 374,2,DB
948,,ICE 78,2,DB
949,,ICE 271,2,SBB
950,,ICE 76,2,DB
951,,ICE 200,2,DB
952,,ICE 370,2,DB
953,,ICE 101,2,DB
955,,ICE 74,2,DB
956,,ICE 108,2,DB
958,,ICE 72,2,DB
959,,ICE 106,2,DB
960,,ICE 276,2,DB
961,,ICE 105,2,DB
962,,ICE 73,2,SBB
963,,ICE 70,2,DB
964,,ICE 204,2,DB
965,,ICE 104,2,NS
967,,ICE 274,2,DB
968,,ICE 107,2,DB
969,,ICE 75,2,SBB
970,,ICE 102,2,DB
971,,ICE 272,2,DB
972,,ICE 109,2,DB
973,,ICE 77,2,SBB
974,,ICE 100,2,DB
975,,ICE 4,2,DB
976,,ICE 201,2,DB
977,,ICE 79,2,SBB
978,,ICE 203,2,DB
979,,ICE 604,2,DB
981,,ICE 202,2,DB
982,,ICE 3,2,SBB
983,,ICE 5,2,DB
984,,ICE 273,2,DB
985,,ICE 874,2,DB
986,,ICE 103,2,DB
987,,ICE 71,2,SBB
988,,ICE 1173,2,SBB
997,,ICE 1576,2,DB
1005,,ICE 1643,2,DB
1007,,ICE 1670,2,DB
1008,,ICE 1641,2,DB
1009,,ICE 1567,2,DB
1010,,ICE 1566,2,DB
1011,,ICE 1661,2,DB
1013,,ICE 1551,2,DB
1016,,ICE 843,2,DB
1017,,ICE 543,2,DB
1018,,ICE 1045,2,DB
1019,,ICE 855,2,DB
1020,,ICE 545,2,DB
1021,,ICE 555,2,DB
1022,,ICE 847,2,DB
1023,,ICE 857,2,DB
1024,,ICE 849,2,DB
1025,,ICE 549,2,DB
1026,,ICE 1051,2,DB
1027,,ICE 941,2,DB
1028,,ICE 641,2,DB
1029,,ICE 1053,2,DB
1030,,ICE 943,2,DB
1032,,ICE 653,2,DB
1033,,ICE 643,2,DB
1034,,ICE 1055,2,DB
1035,,ICE 945,2,DB
1036,,ICE 844,2,DB
1037,,ICE 854,2,DB
1038,,ICE 947,2,DB
1039,,ICE 842,2,DB
1040,,ICE 541,2,DB
1041,,ICE 853,2,DB
1042,,ICE 553,2,DB
1043,,ICE 547,2,DB
1049,,ICE 1028,2,DB
1053,,ICE 1211,2,DB
1056,,ICE 923,2,DB
1058,,ICE 925,2,DB
1060,,ICE 926,2,DB
1061,,ICE 922,2,DB
1085,,ICE 909,2,DB
1096,,ICE 1212,2,DB
1097,,ICE 1210,2,DB
1100,,ICE 1687,2,DB
1102,,ICE 1594,2,DB
1104,,ICE 1583,2,DB
1105,,ICE 1686,2,DB
1106,,ICE 1585,2,DB
1109,,ICE 1693,2,DB
1111,,ICE 1297,2,DB
1114,,ICE 1688,2,DB
1115,,ICE 581,2,DB
1116,,ICE 783,2,DB
1117,,ICE 583,2,DB
1118,,ICE 988,2,DB
1119,,ICE 888,2,DB
1120,,ICE 1085,2,DB
1121,,ICE 784,2,DB
1122,,ICE 787,2,DB
1123,,ICE 886,2,DB
1124,,ICE 1682,2,DB
1125,,ICE 789,2,DB
1126,,ICE 882,2,DB
1127,,ICE 1689,2,DB
